ID	Texto Mascarado
25	Por qual motivo o Processo Sei nº 00589-01245698/2025-15 não foi atendido até o presente MOMENTO? ELE ESTA PARADO DESDE O DIA 10/05/2025 CONFORME ANEXO.
26	Prezados,  Gostaria de sugerir ao Governo do Distrito Federal a implementação de placas educativas no Metrô e em Ônibus, e campanha da televisão (a exemplo da faixa de pedestre) que incentivem a concessão de assentos para pessoas idosas, além dos assentos já marcados. Essa iniciativa pode ser uma forma eficaz de promover o respeito e a solidariedade em nosso transporte público.  Além disso, recomendo a realização de uma campanha educativa diária por um período de um ano. Essa campanha poderia incluir cartazes informativos e mensagens sonoras, tanto nas plataformas quanto nos veículos do metrô, com o objetivo de conscientizar a população sobre a importância de oferecer assentos às pessoas idosas.  Acredito que essa ação é urgente e necessária para promover uma cultura de respeito e consideração em nossa sociedade. A conscientização educacional da população é fundamental para garantir que todos sejam tratados com dignidade.  Agradeço pela atenção e espero que essa proposta possa ser considerada.  Atenciosamente, Ana Garcia
27	"- Quantos policias civis foram afastados da PCDF em 2024?
- E quais as principais causas dos afastamentos?
- Quantos foram por problemas emocionais e/ou de saúde mental?

- Quantos policias civis foram afastados da PCDF em 2023?
- E quais as principais causas dos afastamentos?
- Quantos foram por problemas emocionais e/ou de saúde mental?

- Já tivemos algum afastamento em 2025?
- Se sim, por qual motivo?"
28	Prezados,   entro em contato requerendo acesso no autos do processo de nº 0315-000009878/2023-15 conforme procuração em anexo.   Informo que já houve a solicitação anteriormente onde fui orientado a criar um usuário externo, entretanto, até a presente data não fui habilitado a acessar os autos.   Ao entrar em contato com o DF LEGAL fui orientado a requerer novamente a solicitação e informar o usuário externo.  Portanto passo as seguintes informações:  Nome do requerente: Roberto Carlos Pereira Nome da parte representada: Antônio Garcia Soares CPF: 141.161.100-51 E-mail: carlos.prr@ho.con   Atenciosamente,  Roberto Carlos Pereira
29	Solicito ocorrência atendida pelo CBMDF de nº 2023041400200259.
30	Solicito informação a respeito da existência bens tombados a nível distrital que possam gerar área envoltória e/ou restrições urbanísticas para novas construções que possam atingir o imóvel de interesse localizado no seguinte endereço: Comercial II, Rua 41, Lo 20, CEP 20031 - 900, com inscrição imobiliária nº 78965412  e matrícula nº 654.789 8ºRI. A informação é para fins de Estudo de Viabilidade Técnica e Legal - EVTL para empreendimento comercial.
31	informações sobre o processo : 12398-00000018/2015-23 adasa df
32	"Boa Tarde,

Gostaria de informação sobre processo iniciado na Polícia Civil do DF e não teve resposta concreta até o momento

Processo n° 10259-65478321/2018-25

Processo n° 10259-65478441/2018-56

Grato."
33	SOLICITO ACESSO AO PROCESSO SEI 00258-36985274/2017-43
34	Boa tarde!  Gostaria de acesso aos documentos que instruem o processo SEI nº02305-85265475/2023-55.  Pelo site de pesquisa pública eu consigo abrir o processo e verificar o seu andamento, mas não é possível abrir os documentos juntados ao processo e acessar o seu teor.  Antecipadamente, agradeço Maria Rodrigues de Araújo OAB/PA-59786
35	Solicito ocorrência atendida pelo PMDF de nº 2021852741963258.
36	Queria o extrato de outubro setembro e dezembro
37	Prezados,   Em solicitação anterior, LAI-258789/2025, esta assessoria buscava informações a respeito de duas áreas na Região Administrativa de Planaltina, em resposta a Agência de Fiscalização do Distrito Federal (DF Legal). informou:   “ ... Esclarecemos que nossa equipe de fiscalização realizou diligencias na região do Setor Habitacional Arapoanga, onde apesar dos esforços empenhados, não foi possivel localizar a área descrita na demanda, pois, não foram apresentadas informações suficientes para que possamos prestar qualquer esclarecimento sobre a possível regularização da área. Por isso deixamos de prestar informações, uma vez que não foi possível precisar a sua localização.”.   Deste modo, com intuito de colaborar na efetividade para o serviço da informação, desmembramos os pedidos, sendo esta solicitação a respeito preliminarmente sobre a existência de algum processo em nome de: Fátima Ferreira Braga, CPF: 755.158.120-30, encaminhamos anexo, os protocolos realizados pelo mesmo. Cabe aqui frisar, que segundo o interessado, dos protocolos gerados ele não obteve informações, sendo assim, solicitamos as seguintes informações:  - Foi gerado algum número de processo ? - Qual o número do processo que se deu os protocolos ? - Em que fase encontra-se o processo ?  Att,   BOX ADVOGADOS 
38	Boa tarde! Gostaria de consultar o andamento do processo nº 589642/2018-58 realizado em 02/09/2018, solicitando a isenção da TFE ref. o ano 2018 da empresa CARLA PATRICIA GONÇALVES LTDA CNPJ: 25.598.301/0001-68. Solicitação realizada presencialmente na unidade da Terracap na Adm. do Jardim Botânico/DF.   Desde já agradeço.
39	Solicito cópia do processo 05896-00000589/2017-93 e 00089-98563214/2017-01, que versam sobre a reestruturação da carreira da Assistência Judiciária.
40	Venho solicitar acesso externo ao processo nº 00256-25631478/2022-34 referente ao Termo de Acordo de Cooperação 25/2022 - AC 25/2022 firmado entre a Secretaria de Estado de Obras e Infraestrutura – SO/DF e a Sistema de Cooperativas Financeiras do Brasil - SICOOB. Segue anexo procuração em meu nome para representar a SICOOB junto à SO/DF, e Termo de Acordo de Concordância. Segue também cópia da CNH digital e comprovante de endereço
41	O motorista da linha 805.6 do horário de 7:15 taguatinga / ceilândia. Trata mal os passageiros, não parou no local adequado e quando questionei mandou eu colocar a placa de parada no local. Sendo que todos os dias e todos sabem que o local é uma parada.
42	Solicito ocorrência atendida pelo PMDF de nº 2019258741369456.
43	Olá, boa tarde, me mudei recentemente para Planaltina de Goiás, só que meu filho está matriculado na creche 04 Sobradinho. E para mim ficaria inviável ele estudar lá, porém entrei em contato com a escola classe mais próxima e me disseram que não tem vaga para ele. Gostaria de saber se tem alguma possibilidade de conseguir uma vaga para ele através  de vocês. Desde já agradeço.
44	Olá, boa tarde! Me chamo Márcio, venho requerer todas as informações sobre qualquer órgão publico ou federal e qualquer outro sistema de inteligência, mesmo as informações contidas nos extintos CSN, CGI e SNI, que estejam sob custódia da Abin,  a meu respeito.  Atenciosamente, Márcio Dias
45	Solicito lista atualizada do cadastro de entidades consignatárias facultativas no Sistema Único de Gestão de Recursos Humanos - SIGRH junto à Secretaria de Estado de Obras do Distrito Federal, nos termos do Anexo I da PORTARIA Nº 85, DE 23 DE MARÇO DE 2025.
46	"Solicito informações (números) sobre:
Quantitativo de processos de redução de carga horária de servidores públicos do Distrito Federal que foram recebidos entre 31/06/2020 a 01/12/2020, na unidade SEEC/SUBSAUDE/COTEM/GPPS.
Quantos destes processos, de redução de carga horária de servidores públicos do Distrito Federal, recebidos entre 31/06/2020 a 01/12/2020, tiveram perícia médica marcada?
Qual o prazo médio, para  que um processo de redução de carga horária, que chegou  na Unidade SEEC/SUBSAUDE/COTEM/GPPS, entre 31/06/2020 a 01/12/2020 tenha a perícia médica marcada?

Desde já, agradecemos!"
47	Ref.:  Processo SEI nº  0025-000598/2006    Ilustres Servidores do Departamento de Trânsito do DF,  Cumprimentando-os cordialmente, o escritório Cassandra Rodrigues Advogados Associados, vem, por meio deste advogado que este subscreve, representando os interesses da WT VIDA EMPREENDIMENTOS IMOBILIÁRIOS LTDA., expor e requerer o quanto segue.  Nos termos do artigo 7º, inciso XV do Estatuto da Ordem dos Advogados do Brasil (Lei nº 8.906/94) é direito do advogado ter vista dos processos judiciais ou administrativos de qualquer natureza, em cartório ou na repartição competente, ou retirá-los pelos prazos legais.  Cumpre invocar também o disposto no artigo 5º, inciso XXXIII, artigo 37, §3º, inciso II e artigo 216, §2º da Constituição Federal, bem como na Lei 12.527/2011, que garantem o acesso à informação.   Desta feita, considerando que nos autos do processo em epígrafe constam documentos que não foram fornecidos quando solicitados e, tendo em vista a previsão legal supracitada, requer-se o acesso à seguinte documentação, em caráter de urgência:  2.png  Ademais, encaminho o instrumento de procuração, em anexo, por meio do qual a WT VIDA EMPREENDIMENTOS IMOBILIÁRIOS LTDA. outorga poderes para este escritório representá-lo perante órgãos e repartições públicas do Governo do Distrito Federal.  Desde já agradecemos pela atenção e disponibilidade e aguardamos retorno por parte de vossas senhorias.  Atenciosamente,
48	"Boa tarde!

Tendo em vista que os tamanhos de fraldas descartáveis fornecidos às crianças com deficiência pela SES não acompanham os padrões (tamanho x idade x peso), gostaria de saber se existe a possibilidade de serem inseridas os tamanhos XXG e Juvenil ao processo de aquisição do insumo.
Uma criança que usa o tamanho XG e posterior já passar a usar o tamanho P adulto fica desproporcional, e fogem aos parâmetros do desenvolvimento de uma criança.

At.te
Gustavo"
49	castração gratuita para gatos
50	Gostaria de informar aqui que realizei uma solicitação no Participa-DF que gerou o protocolo OUV-01785/2022, ao Departamento de Estradas e Rodagem do Distrito Federal- DER-DF, para que, dentro das possibilidades, possa realizar a instalação de um semáforo em frente ao Jardim Botânico Shopping. O DER-DF informou a mim que foi gerado um Processo, e agora será tratado pela área responsável por meio do Processo Sei n° 00258-0065123/2022-12.  Gostaria de solicitar a este mesmo Departamento o acesso externo a este processo para acompanhamento da solicitação.  Lúcio Leonardo Rocha 519.183.164-30
51	Solicita-se acesso ao Processo nº 0032185265/2024.
52	Inteligência Artificial e Letramento Digital no Setor Público  Prezado(a) servidor(a),  Este questionário tem como objetivo mapear as percepções sobre habilidades relacionadas ao letramento digital e ao uso de Inteligência Artificial Generativa no setor público. Dividido em três seções – Perfil Demográfico e Profissional, Letramento Digital e Inteligência Artificial Generativa – o estudo oferece insights valiosos para que governos identifiquem desafios e oportunidades na busca por inovação e transformação digital. Os benefícios são significativos, pois os participantes podem identificar suas necessidades de capacitação, enquanto os governos utilizam os resultados para mapear lacunas e desenvolver estratégias mais eficazes para promover a inclusão digital, superando os obstáculos associados à adoção de novas tecnologias. Solicita-se, portanto, ampla divulgação nos órgãos do Governo do Distrito Federal, a fim de garantir resultados robustos e relevantes.  O tempo estimado para responder é de 5 a 10 minutos. Todas as respostas são confidenciais, pois nenhum dado que identifique o participante será coletado, garantindo sua privacidade e anonimato. As informações serão utilizadas exclusivamente para fins de pesquisa no âmbito do Mestrado da Escola de Políticas Públicas e Governo do Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa .  Acesse o questionário pelo link: https://bit.ly/4gkOtWa  A sua opinião importa! Contamos com a sua participação.   Desde já, agradecemos a sua colaboração.  Cordialmente,  Carolina Guimarães Neves: Atividade de Defesa do Consumidor e Fiscal de Defesa do Consumidor. Pesquisadora do Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa. Orientador: Profª. Doutorª. Fátima Lima
53	Identidade nova
54	Solicita-se informações acerca do recebimento dos materiais quanto à(s):  Nota fiscal: 5867.  Valor total de R$ 900,00.  Documento/Empenho Nº 2021NE12396.  CJ SAÚDE IMOBILIÁRIA LTDA, CNPJ n° 98.654.123/0001-25.  ADMINISTRACAO REGIONAL DO PARK WAY - RA XXIV.   Os produtos entregues estão de acordo com o exigido no edital?  Há alguma pendência a ser resolvida pela empresa para liberação do pagamento? Qual o número e a forma de consulta do processo administrativo gerado para efetivar o pagamento? Já foi efetuado o ateste, recebimento provisório e/ou definitivo? Se não, qual é o nome e contato do servidor responsável por este procedimento? Se o ateste já foi efetuado, a nota fiscal já foi encaminhada para o setor responsável pelo pagamento? Se não, qual o nome e contato do servidor que não deu encaminhamento. Se sim, qual o nome e contato do servidor que recebeu a nota. O recurso é proveniente de Convênio/Emenda Parlamentar? Se sim, já foram efetuados todos os trâmites para recebimento? Qual a previsão de pagamento? Informar nome, telefone e contato do setor responsável por efetuar o pagamento. Observação: Caso haja resposta por e-mail, somente finalizar a presente demanda após a CONFIRMAÇÃO de recebimento.  Qualquer dúvida, entrar em contato via ligação ou WhatsApp no telefone 45 3578-6249, ou por meio do E-mail: neto@e-ce.adv.ja  Em resposta, informar o Número Interno 789321.
55	Solicito acesso ao processo 01235-36965412/2025-02
56	"Casei recentemente e embora não mudei meu nome civil, necessito retirar novos documentos para mudar o estado civil neles:
RG, CPF, CNH, Carteira de trabalho, Título de Eleitor e Reservista.
Atualmente sou estudante de Mestrado na Universidade Católica de Brasília e durante esse período resido no Distrito Federal, mas sou originário do Paraná.

Gostaria de saber os custos e como posso regularizar minha situação."
57	Prezado(a),  Solicito gentilmente à RA XXX - Sul disponibilizar a planta do meu imóvel localizado na Arts 60 – 4 e 14, Aeroporto Niterói, CEP 35800 - 900, com inscrição IPTU nº 456321852 .  Segue matrícula do imóvel.  Grata!  No aguardo.
58	Gostaria de saber a respeito da obra que originalmente era destinada ao trabalho dos servidores públicos do GDF, o Centro Administrativo, próximo à estação Centro metropolitano. Porque não está operacional ?
59	Boa tarde quero faze uma reclamação com neoenergia, tô quebrando cabeça com eles a mais de um mês,  fiz um pedido de ligação nova de energia pra minha casa, toda vez vai um fiscal diferente, sempre com desculpa de que tá faltando algo pra eles ligarem, fazendo eu compra material atoa, a última vez que foram pediram pra mim trocar a caixa padrão, fui lá troquei, hoje foram lá, falaram que tenho que trocar o poste, eles não passa informação correta. Sempre arruma um problema, lá e zona rural, as pessoas todas lá usar gato, eles não tá nem aí, quero regularizar  meu eles fazem isso... caso eles não tome providência vou fazer como os outros.. tô casado de quebra cabeça com CEB .esse é endereço. ER ES 050 m 26 CASA O E DOS 95 A LOTE 005 - A  Francisco Barbosa Marques   Cpf 982.123.188-57  15  88123-5422
60	Solicito que seja enviado para o meu email blog@abril.com o meu processo de aposentadoria no FAPDF n. 00369-58964125/2023-65
61	Bom dia.  Eu Beatriz Oliveira Nunes, portadora do CPF: 060.000.186-12, email: jornal@sociedade.con, preciso de uma informação, eu entrei com uma defesa prévia de uma multa e queria consulta-lá, gostaria de saber o que diz no processo até agora ou se já foi concluido o processo.
62	Bom dia,   Eu ja tenho a viabilidade aprovada. porém a junta me pede para eu fazer uma nova viabilidade alegando o nome da empresa!  neste caso o número protocolo integrado vai mudar e a taxa foi paga como faço para aproveitamento a viabilidade aprovada e só atualizar o nome e as exigência da junta comercial. Pois pelo que eu entendo para eu fazer uma nova viabilidade tenho que cancelar a que está vigente, fazer uma nova com certeza terá outro número e como vou fazer com a taxa paga.  motivo pendência nota explicativa 1. corrigir nire: 7893214568-7 89- prezado senhor usuário, orientamos fazer uma nova viabilidade de nome empresarial e retirar o ( 01 ) constante após a natureza jurídica do nome empresarial  CO S DE E Ltda  Preciso de orientação em referencia a taxa que foi pago com o protocolo DFP4568523652, COMO MANTER ENTE NUMERO
63	Troca de titularidade, moro de aluguel e a residência possui um débito altíssimo de luz, o antigo morador não pagava e deixou acumular
64	"Prezados, seguem os seguintes questionamentos:
1) Gostaria de saber quantas carteiras de habilitação (por categoria) foram emitidas através do programa CNH social?
2) Quanto foi gasto com o programa desde o início até o presente momento?
3)Houve aumento no número de motoristas/entregadores de aplicativo relacionado ao programa CNH social?
4) A disponibilização de uma série temporal de número de motoristas/entregadores de aplicativo ao longo dos últimos 20 anos.
5) A disponibilização de uma série temporal de número de cnh's emitidas (por categoria) ao longo dos últimos 20 anos."
65	Por gentileza,   Gostaria de obter dados de violência psicológica contra a mulher de 2015 a 2025. Estou fazendo uma pesquisa de mestrado e gostaria de fazer essa comparação antes da pandemia.    Grata Conceição Sampaio
66	Solicito o envio da Certidão (negativa, positiva, explicativa) da Future Automação e Dados Ltda, CNPJ 56.478.854/0001-24, processo nº 00256-12558945/2019-32.
67	"Bom dia.
Preciso ter acesso a um processo meu, no Der, para ver o prazo para recurso. Quais os passos?
Número do processo: 47856-00236987/2026-54"
68	Fazer cadastro
